Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20141028;4292;SF;Johnson, Wesley;1;9.4;$4,600;lal;H;hou;90;108;23;7pt 2rb 1trey 3-7fg 0-0ft
20141028;3311;SF;Jefferson, Richard;;8.9;$3,500;dal;A;sas;100;101;13;6pt 2rb 1as 1to 1trey 1-3fg 3-4ft
20141028;4459;PF;Motiejunas, Donatas;;8;$3,800;hou;A;lal;108;90;16;4pt 5rb 2to 0-0fg 4-6ft
20141028;4691;PF;Black, Tarik;;4.4;$3,500;hou;A;lal;108;90;24;2pt 2rb 1-2fg 0-0ft
20141028;4472;SF;Crowder, Jae;;4;$3,500;dal;A;sas;100;101;11;5pt 1to 2-2fg 1-1ft
20141028;3418;SF;Salmons, John;;3.9;$3,500;nor;H;orl;101;84;10;0pt 2rb 1as 0-0fg 0-0ft
20141028;4261;SF;Aminu, Al-Farouq;;1.4;$4,400;dal;A;sas;100;101;5;0pt 2rb 1to 0-2fg 0-0ft
20141028;4680;PF;Randle, Julius;;1;$5,500;lal;H;hou;90;108;14;2pt 1to 1-3fg 0-2ft
20141028;4408;PF;Smith, Greg;;0;$3,500;dal;A;sas;100;101;2;0pt 0-0fg 0-0ft
20141028;4264;SF;Babbitt, Luke;;0;$3,500;nor;H;orl;101;84;2;0pt 0-0fg 0-0ft
20141028;4373;C;Vucevic, Nikola;1;53.1;$8,100;orl;A;nor;84;101;35;15pt 23rb 1as 1st 4bl 1to 7-15fg 1-2ft
20141028;4263;C;Asik, Omer;1;44.4;$4,900;nor;H;orl;101;84;34;14pt 17rb 2as 5bl 3to 7-10fg 0-3ft
20141028;3639;C;Howard, Dwight;1;28.7;$9,500;hou;A;lal;108;90;21;13pt 11rb 1as 1bl 1to 3-5fg 7-16ft
20141028;3307;C;Chandler, Tyson;1;23;$5,700;dal;A;sas;100;101;28;8pt 10rb 2st 1to 4-8fg 0-0ft
20141028;4529;C;O'Quinn, Kyle;1;20.9;$4,600;orl;A;nor;84;101;21;4pt 2rb 5as 1st 3bl 1to 2-8fg 0-0ft
20141028;4179;C;Hill, Jordan;1;20.5;$5,100;lal;H;hou;90;108;23;7pt 10rb 1as 1bl 2to 2-7fg 3-4ft
20141028;4034;C;Wright, Brandan;;14;$3,800;dal;A;sas;100;101;18;6pt 5rb 1bl 2-2fg 2-2ft
20141028;4572;C;Dedmon, Dewayne;;7.6;$3,500;orl;A;nor;84;101;8;3pt 3rb 1bl 1to 1-2fg 1-2ft
20141028;4556;C;Baynes, Aron;;6.4;$3,500;sas;H;dal;101;100;18;4pt 2rb 1bl 2to 2-3fg 0-0ft
20141028;4535;C;Sacre, Robert;;4;$3,600;lal;H;hou;90;108;7;2pt 1st 1-5fg 0-0ft
20141028;3520;C;Bonner, Matt;1;2.4;$3,500;sas;H;dal;101;100;15;0pt 2rb 0-2fg 0-0ft
20141028;4565;C;Withey, Jeff;;1.2;$3,500;nor;H;orl;101;84;2;0pt 1rb 0-1fg 0-0ft
20141028;4084;C;Ajinca, Alexis;;1;$3,700;nor;H;orl;101;84;2;2pt 1to 1-1fg 0-0ft
20141028;4689;NA;Marble, Devyn;;5.2;N/A;orl;A;nor;84;101;3;4pt 1rb 2-2fg 0-2ft
20141029;4079;PG;Westbrook, Russell;1;54.6;$10,000;okc;A;por;89;106;33;38pt 3rb 6as 3st 2to 1trey 11-26fg 15-16ft
20141029;4173;PG;Curry, Stephen;1;51.5;$9,600;gsw;A;sac;95;77;37;24pt 10rb 5as 6st 4to 2trey 7-17fg 8-9ft
20141029;4382;PG;Knight, Brandon;1;49.1;$6,300;mil;A;cha;106;108;39;22pt 8rb 13as 1bl 4to 2trey 5-17fg 10-10ft
20141029;4469;PG;Wroten, Tony;1;47.1;$5,500;phi;A;ind;91;103;35;22pt 8rb 7as 3st 1to 1trey 9-21fg 3-8ft
